ئاب	آب
تشتێ	تشت
تشتێن	تشتن
تشتەکی	تشتكي
تشتەکێ	تشتك
تشرین	تشرين
تلوعی	تلوعي
تمر	تمر
تموز	تموز
تمەن	تمن
تنێ	تن
تنێسی	تنصي
تهران	تهران
تو	تو
توانی	تواني
توانیان	توانيان
توت	توت
توخمی	توخمي
تودەی	طودي
تورا	طورا
توران	طوران
تورقە	تورق
تورهان	تورهان
تورک	تورك
تورکی	توركي
تورکین	توركين
تورکیێ	توركي
تورێ	طور
تورێن	طورن
توز	توذ
توش	توش
توشی	توشي
توفیق	توفيق
توماس	توماس
تومەن	تومن
تونس	تونس
تونسی	تونسي
تونسێ	تونس
تونی	توني
توو	تو
تووتن	توطن
توورە	طور
تووسی	طوسي
تووش	توش
تووشی	توشي
توونس	تونس
تووی	طوي
توڕە	طور
توڕەبوون	توربون
توڕەن	طورن
توڕەی	طوري
توی	طوي
توێکڵی	توكلي
تکساس	تكساس
تۆ	تو
تۆبی	توبي
تۆتی	توطي
تۆرا	طورا
تۆران	طوران
تۆرهان	تورهان
تۆری	طوري
تۆریس	توريس
تۆرین	تورين
تۆرێ	طور
تۆرێس	تورث
تۆرێکی	توركي
تۆرەی	طوري
تۆز	توذ
تۆزی	توذي
تۆش	توش
تۆفان	طوفان
تۆفیق	توفيق
تۆم	توم
تۆماس	توماس
تۆن	تون
تۆنی	توني
تۆڕ	طور
تۆڕی	طوري
تۆڕێکی	توركي
تۆڕە	طور
تۆڕەکە	تورك
تۆکیۆ	طوكيو
تۆڵ	طول
تۆڵی	تولي
تۆڵە	طول
تۆڵەی	تولي
تۆی	طوي
تی	تي
تیر	طير
تیرانا	تيرانا
تیری	طيري
تیرەی	طيري
تیشی	طيشي
تیم	تيم
تیما	تيما
تیمۆر	تيمور
تیمی	تيمي
تیمێ	تيم
تیمێن	تيمن
تیمە	تيم
تیمەی	تيمي
تین	تين
تینا	طينا
تینی	طيني
تێ	ت
تێبینی	تبيني
تێبەر	تبر
تێبەردا	تبردا
تێد	تد
تێدا	تدا
تێدانیە	تداني
تێدەکەن	تدكن
تێر	طر
تێرو	طرو
تێرۆر	طرور
تێرۆن	طرون
تێری	طري
تێزی	تزي
تێست	طست
تێستی	تسطي
تێل	تل
تێلی	طلي
تێمێکی	تمكي
تێن	تن
تێنس	تنس
تێنستا	تنصتا
تێنسی	تنصي
تێوەردان	توردان
تێوەری	طوري
تێڤێز	توذ
تێکبدەن	تكبدن
تێکدا	تكدا
تێکدان	تكدان
تێکدەر	تكدر
تێکدەری	تكدري
تێکست	تكست
تێکستا	تكستا
تێکلی	تكلي
تێکلیێن	تكلين
تێکڕا	تكرا
تێکەل	تكل
تێکەلیێن	تكلين
تێکەڵ	تكل
تێکەڵی	تكلي
تێکەڵەی	تكلي
تێڵا	طلا
تێی	تي
تەئاخی	تآخي
تەبا	طبا
تەباخ	طباخ
تەبریزی	تبريزي
تەبلیسی	تبليسي
تەبەق	طبق
تەتەری	تتري
تەجاوز	تجاوز
تەجمید	تجميد
تەحریر	تحرير
تەحسین	تحسين
تەخ	تخ
تەخت	تخت
تەختی	تخطي
تەختەی	تخطي
تەخێ	تخ
تەخێن	تخن
تەدوین	تدوين
تەرابلس	طرابلس
تەرخان	ترخان
تەرخەم	ترخم
تەرخەمی	ترخمي
تەرزی	ترضي
تەرم	ترم
تەرمی	ترمي
تەرمیان	ترميان
تەرمێ	ترم
تەرمەی	ترمي
تەرکیز	تركيز
تەرەفی	ترفي
تەرەقی	ترقي
تەزووی	تضوي
تەزوی	تضوي
تەزویر	تزوير
تەسلیم	تسليم
تەسویر	تصوير
تەسک	تسك
تەسکی	تسكي
تەسەل	تصل
تەسەلی	تسلي
تەسەور	تسور
تەسەوف	تصوف
تەشریعی	تشريعي
تەشهیر	تشهير
تەشەنەی	تشني
تەعبیر	تعبير
تەعجیل	تعجيل
تەعریب	تعريب
تەعریف	تعريف
تەعز	تعز
تەعزی	تعضي
تەعمە	طعم
تەق	طق
تەقتەق	طقطق
تەقدیری	تقديري
تەقی	تقي
تەقینی	تقيني
تەقە	طق
تەقەو	تقو
تەقەی	تقي
تەقەیان	تقيآن
تەل	تل
تەلاق	طلاق
تەلال	تلال
تەلعەت	طلعت
تەلی	طلي
تەلەبە	طلب
تەلەفون	تلفون
تەلەفۆن	تلفون
تەم	طم
تەماتە	تمات
تەماتەی	تماتي
تەمر	طمر
تەمو	طمو
تەموز	تموز
تەمووز	تموز
تەمۆ	طمو
تەمیز	تميز
تەمیزی	تميزي
تەمیم	تميم
تەمییز	تمييز
تەمەر	طمر
تەمەن	تمن
تەمەنی	تمني
تەمەنێ	تمن
تەمەنە	تمن
تەمەنەی	تمني
تەن	تن
تەنا	طنا
تەناهی	تناهي
تەناهیا	تناهيا
تەناهیێ	تناهي
تەنبوور	طنبور
تەنتاوی	طنطاوي
تەندەر	تندر
تەندەری	تندري
تەندەرین	تندرين
تەنز	طنز
تەنسی	تنصي
تەنسیق	تنسيق
تەنفیزی	تنفيذي
تەنوور	تنور
تەنک	تنك
تەنکەر	تنكر
تەنی	طني
تەنیا	تنيا
تەنیێن	تنين
تەنێ	تن
تەنێن	طنن
تەنێک	تنك
تەنێکی	تنكي
تەها	طها
تەهران	طهران
تەهرانێ	طهران
تەوار	طوار
تەواری	تواري
تەوافق	توافق
تەوافقی	توافقي
تەوحید	توحيد
تەوفیق	توفيق
تەونی	توني
تەویل	طويل
تەوەر	طور
تەوەران	طوران
تەوەری	طوري
تەوەرێ	طور
تەوەرێن	طورن
تەوەرێک	تورك
تەوەرەکێ	تورك
تەوەرەی	طوري
تەڕ	طر
تەڤ	تو
تەڤایا	طوايا
تەڤی	طوي
تەکساس	تكساس
تەکسی	تكسي
تەکلیف	تكليف
تەکنیکی	تكنيكي
تەکەز	تكز
تەڵاق	طلاق
تەڵاقی	تلاقي
تەڵعەت	طلعت
تەڵی	طلي
تەڵەبە	طلب
تەڵەبەی	طلبي
تەیاب	طياب
تەیار	تيار
تەیب	طيب
تەیسیر	تيسير
تەیمور	تيمور
تەیموور	تيمور
جابر	جابر
جادا	جادا
جادر	جادر
جادێ	جاد
جادە	جاد
جار	جار
جارا	جارا
جاران	جاران
جاری	جاري
جارێ	جار
جارە	جار
جارەئەم	جارم
جارەم	جارم
جارەی	جاري
جارەیان	جاريان
جاز	جاز
جازی	جازي
جاسم	جاسم
جاش	جاش
جاشوا	جاشوا
جاف	جاف
جافی	جافي
جام	جام
جامایکا	جامايكا
جان	جان
جانتا	جانتا
جانی	جاني
جانێ	جان
جانێت	جانت
جاوید	جاويد
جاک	جاك
جاکارتا	جاكارتا
جاکسۆن	جاكسون
جبار	جبار
جبریل	جبريل
جبس	جبس
جبور	جبور
جددی	جددي
جدی	جدي
جری	جري
جرێمی	جرمي
جسر	جسر
جسی	جصي
جعفر	جعفر
جل	جل
جلال	جلال
جلو	جلو
جلی	جلي
جلیل	جليل
جم	جم
جمال	جمال
جمهوری	جمهوري
جمیل	جميل
جنان	جنان
جندی	جندي
جنسی	جنسي
جنوب	جنوب
جها	جها
جهان	جهان
جهی	جهي
جهێ	جه
جهێن	جهن
جو	جو
جواد	جواد
جوان	جوان
جوانی	جواني
جوانێ	جوان
جوانە	جوان
جود	جود
جودا	جودا
جودی	جودي
جور	جور
جورا	جورا
جورج	جورج
جوری	جوري
جورێ	جور
جورێن	جورن
جوزیف	جوزيف
جولی	جولي
جولەی	جولي
جومعە	جومع
جون	جون
جونەی	جوني
جوهر	جوهر
جوو	جو
جوولەی	جولي
جوون	جون
جوونی	جوني
جووڵە	جول
جووڵەی	جولي
جوڵەی	جولي
جڤیا	جويا
جڤینا	جوينا
جڤینێ	جوين
جۆ	جو
جۆئێل	جول
جۆدا	جودا
جۆدۆ	جودو
جۆر	جور
جۆرا	جورا
جۆرج	جورج
جۆرجی	جورجي
جۆرجیا	جورجيا
جۆرن	جورن
جۆری	جوري
جۆرێ	جور
جۆرێن	جورن
جۆرە	جور
جۆرەی	جوري
جۆرەیە	جوري
جۆزیف	جوزيف
جۆزێ	جوز
جۆزێف	جوزف
جۆش	جوش
جۆلان	جولان
جۆلی	جولي
جۆن	جون
جۆنس	جونس
جۆنسن	جونسن
جۆنی	جوني
جۆهەر	جوهر
جۆی	جوي
جیبۆتی	جيبوتي
جیران	جيران
جیف	جيف
جیل	جيل
جیم	جيم
جیمس	جيمس
جیهان	جيهان
جیهانێ	جيهان
جیهانە	جيهان
جیۆلۆجی	جيولوجي
جێ	ج
جێب	جب
جێبێڵن	جبلن
جێبێڵێت	جبلت
جێدێڵن	جدلن
جێدێڵێت	جدلت
جێرمان	جرمان
جێرمانی	جرماني
جێرمی	جرمي
جێری	جري
جێرێمی	جرمي
جێف	جف
جێم	جم
جێمز	جمز
جێمی	جمي
جێن	جن
جێنەوا	جنوا
جێهشت	جهشت
جێهێشت	جهشت
جێێ	ج
جەبار	جبار
جەبارە	جبار
جەبر	جبر
جەبەل	جبل
جەبەلی	جبلي
جەدوع	جدوع
جەراح	جراح
جەزا	جزا
جەزائر	جزار
جەستە	جصت
جەعفەر	جعفر
جەعفەری	جعفري
جەلا	جلا
جەلال	جلال
جەلاڵ	جلال
جەلی	جلي
جەلیل	جليل
جەلەبی	جلبي
جەم	جم
جەمال	جمال
جەماڵ	جمال
جەمیل	جميل
جەنابێ	جناب
جەنان	جنان
جەند	جند
جەنرال	جنرال
جەنڕاڵ	جنرال
جەنەرال	جنرال
جەنەراڵ	جنرال
جەنەوا	جنوا
جەنەڕاڵ	جنرال
جەهی	جهي
جەو	جو
جەواد	جواد
جەوان	جوان
جەودەت	جودت
جەولەی	جولي
جەوهەر	جوهر
جەوهەری	جوهري
جەڵال	جلال
جەڵتە	جلط
جەڵدەی	جلدي
جەیش	جيش
جەیشی	جيشي
جەیمس	جيمس
حاتم	حاتم
حاتەم	حاتم
حاج	حاج
حاجی	حاجي
حاجیان	حاجيان
حارس	حارس
حازر	حازر
حازم	حازم
حاشا	حاشا
حاشای	حاشاي
حافز	حافز
حافزی	حافظي
حالەت	حالت
حامد	حامد
حاکم	حاكم
حاکمی	حاكمي
حاڵ	حال
حاڵی	حالي
حاڵێک	حالك
حاڵەت	حالت
حاڵەتە	حالت
حبیب	حبيب
حجاب	حجاب
حجی	حجي
حدود	حدود
حزب	حزب
حزبا	حزبا
حزبی	حزبي
حزبە	حزب
حزبەی	حزبي
حساب	حساب
حسام	حسام
حسن	حسن
حسنی	حصني
حسو	حسو
حسیب	حسيب
حسین	حصين
حسینی	حسيني
حسێن	حصن
حسێنی	حصني
حف	حف
حللە	حلل
حلمی	حلمي
حلی	حلي
حلە	حل
حمد	حمد
حمس	حمس
حمسی	حمسي
حمو	حمو
حمود	حمود
حمودی	حمودي
حموود	حمود
حمید	حميد
حمە	حم
حوجەت	حوجت
حوسێن	حوسن
حوسەێن	حوسن
حوکم	حوكم
حکمت	حكمت
حکمەت	حكمت
حکومی	حكومي
حکومەی	حكومي
حکوومی	حكومي
حکیم	حكيم
حۆسێن	حوسن
حیدر	حيدر
حەب	حب
حەبی	حبي
حەبیب	حبيب
حەبێکی	حبكي
حەبە	حب
حەتا	حطا
حەتمی	حتمي
حەتمەن	حطمن
حەج	حج
حەجی	حجي
حەجیێ	حجي
حەداد	حداد
حەدبا	حدبا
حەدود	حدود
حەدیدی	حديدي
حەدەبا	حدبا
حەرام	حرام
حەرب	حرب
حەربی	حربي
حەریری	حريري
حەرەمی	حرمي
حەز	حظ
حەزا	حظا
حەزم	حزم
حەزمان	حزمان
حەزو	حذو
حەزی	حظي
حەسار	حصار
حەسان	حسان
حەسانە	حسان
حەسن	حصن
حەسون	حسون
حەسۆ	حسو
حەسیب	حسيب
حەسیر	حصير
حەسەن	حصن
حەسەنی	حصني
حەسەنێن	حصنن
حەسەنە	حصن
حەشار	حشار
حەشیش	حشيش
حەفت	حفت
حەفتا	حفتا
حەفتەم	حفتم
حەفید	حفيد
حەق	حق
حەقی	حقي
حەقیقی	حقيقي
حەلەب	حلب
حەما	حما
حەماس	حماس
حەمام	حمام
حەمای	حماي
حەمدان	حمدان
حەمدی	حمدي
حەمزە	حمض
حەمزەی	حمضي
حەمس	حمص
حەمود	حمود
حەمودی	حمودي
حەموودی	حمودي
حەمید	حميد
حەمە	حم
حەمەد	حمد
حەمەی	حمي
حەنا	حنا
حەنان	حنان
حەنیفی	حنيفي
حەنین	حنين
حەوا	حوا
حەواس	حواس
حەوت	حوت
حەوتی	حوطي
حەوز	حوض
حەوزی	حوذي
حەوزەی	حوذي
حەوشەی	حوشي
حەوێز	حوض
حەوێزی	حوذي
حەڤدە	حود
حەکیم	حكيم
حەکەم	حكم
حەڵەب	حلب
حەی	حي
حەیات	حيات
حەیاتی	حياتي
حەیدر	حيدر
حەیدەر	حيدر
حەیران	حيران
حەیفا	حيفا
خابوور	خابور
خاتری	خاطري
خازر	خازر
خاس	خاص
خافی	خافي
خافێر	خافر
خال	خال
خالا	خالا
خالد	خالد
خالس	خالس
خالقی	خالقي
خالی	خالي
خام	خام
خان	خان
خانا	خانا
خانە	خان
خاوی	خاوي
خاڵ	خال
خاڵس	خالص
خاڵسی	خالسي
خاڵقی	خالقي
خاڵی	خالي
خاڵە	خال
خاڵەی	خالي
خبر	خبر
خدا	خدا
خدر	خدر
خدران	خدران
خدری	خدري
خرا	خرا
خراب	خراب
خرانە	خران
خرما	خرما
خزر	خزر
خزری	خضري
خزم	خضم
خزمی	خضمي
خزمەت	خضمت
خزمەتا	خضمتا
خزمەتێن	خضمتن
خزێرە	خضر
خزەیر	خزير
خست	خست
خستن	خستن
خستنە	خستن
خستە	خست
خشت	خشت
خلف	خلف
خلیل	خليل
خو	خو
خوا	خوا
خوار	خوار
خوارێ	خوار
خواز	خواض
خوان	خوان
خور	خور
خورت	خورت
خورتا	خورتا
خورشید	خورشيد
خوری	خوري
خوزستان	خوزستان
خوست	خوست
خول	خول
خولا	خولا
خولان	خولان
خولانە	خولان
خولی	خولي
خولێ	خول
خولێن	خولن
خولە	خول
خولەی	خولي
خوو	خو
خوولی	خولي
خووی	خوي
خووە	خو
خوڵی	خولي
خوی	خوي
خویا	خويا
خویان	خويان
خوین	خوين
خوینا	خوينا
خوینێ	خوين
خویێ	خوي
خویێن	خوين
خوێ	خو
خوێن	خون
خوێنی	خوني
خوێنە	خون
خوێی	خوي
خوە	خو
خوەست	خوست
خوەل	خول
خوەو	خو
خوەیا	خويا
خوەیێ	خوي
خوەیێن	خوين
خڵەفان	خلفان
خۆ	خو
خۆت	خوت
خۆر	خور
خۆری	خوري
خۆزێ	خوذ
خۆسیە	خوصي
خۆسێ	خوص
خۆل	خول
خۆلا	خولا
خۆلان	خولان
خۆلی	خولي
خۆلێ	خول
خۆلێن	خولن
خۆڵ	خول
خۆڵی	خولي
خۆی	خوي
خۆیا	خويا
خۆیان	خويان
خۆیانە	خويان
خۆێ	خو
خیا	خيا
خیار	خيار
خێر	خر
خێرا	خرا
خێراش	خراش
خێری	خري
خێرێز	خرز
خێرێس	خرس
خێزان	خزان
خێزانێ	خزان
خێزانە	خزان
خێمە	خم
خێوەت	خوت
خێڵ	خل
خێڵی	خلي
خەبات	خباط
خەبەر	خبر
خەبەری	خبري
خەت	خط
خەتاب	خطاب
خەتارێ	ختار
خەتی	خطي
خەتیب	خطيب
خەرتوم	خرطوم
خەرج	خرج
خەرجی	خرجي
خەردەل	خردل
خەرمان	خرمان
خەزان	خزان
خەزرا	خزرا
خەزنەی	خزني
خەزێنەی	خزني
خەست	خست
خەفاف	خفاف
خەلات	خلاط
خەلاتێ	خلاط
خەلدون	خلدون
خەلفان	خلفان
خەلق	خلق
خەلقی	خلقي
خەلیفە	خليف
خەلیل	خليل
خەلەف	خلف
خەم	خم
خەمی	خمي
خەمیس	خميس
خەنجەر	خنجر
خەندقی	خندقي
خەو	خو
خەوتن	خوتن
خەون	خون
خەونا	خونا
خەونی	خوني
خەوی	خوي
خەویان	خويان
خەڵات	خلاط
خەڵاتە	خلاط
خەڵق	خلق
خەڵقی	خلقي
خەڵوەت	خلوت
خەڵی	خلي
خەڵەف	خلف
خەڵەفی	خلفي
خەیات	خياط
خەیار	خيار
خەیالی	خيالي
خەیام	خيام
خەیاڵ	خيال
خەیاڵی	خيالي
خەیری	خيري
خەیمە	خيم
دئەڤ	دو
دئەڤێ	دو
دا	دآ
داب	داب
دابڕان	دابران
دابێ	داب
داخل	داخل
داخلی	داخلي
داخڵ	داخل
داخڵی	داخلي
داد	داد
دادا	دادا
دادی	دادي
دادێ	داد
دادێت	دادت
دادەنێ	دادن
دار	دار
دارا	دارا
دارم	دارم
داروین	داروين
داری	داري
داریا	داريا
داریان	داريان
دارین	دارين
دارێن	دارن
دارە	دار
دارەکان	داركان
دافێنشی	دافنشي
دال	دال
دالاس	دالاس
دام	دام
دامەن	دامن
دان	دان
دانا	دانا
دانمارک	دانمارك
دانی	داني
دانیال	دانيال
دانیان	دانيان
دانیاڵ	دانيال
دانین	دانين
دانینا	دانينا
دانێ	دان
دانێن	دانن
دانە	دان
دانەی	داني
دانەیان	دانيان
داهێنا	داهنا
داهێنان	داهنان
داهێنانێ	داهنان
داهێنانە	داهنان
داو	داو
داود	داود
داوم	داوم
داون	داون
داوود	داوود
داوون	داون
داوی	داوي
داویا	داويا
داویان	داويان
داویانە	داويان
داوین	داوين
داویێ	داوي
داوێن	داون
داوە	داو
داوەئەم	داوم
داوەت	داوت
داوەتا	داوتا
داوەتێ	داوت
داوەتە	داوت
داوەران	داوران
داوەری	داوري
داوەو	داو
داڤێد	داود
داکا	داكا
داین	داين
داینی	دايني
داینە	داين
دبلۆم	دبلوم
دبن	دبن
دبێت	دبت
دبە	دب
دبەت	دبت
دجلە	دجل
ددت	ددت
ددەت	ددت
ددەن	ددن
در	در
درا	درا
دراما	دراما
درامی	درامي
دران	دران
درز	درز
درزی	درزي
درست	درست
درع	درع
درمی	درمي
درواسێ	درواس
درویش	درويش
درک	درك
درکی	دركي
دریم	دريم
درێ	در
درێسی	درسي
درێک	درك
درەما	درما
دست	دست
دشێت	دشت
دشێن	دشن
دل	دل
دلهی	دلهي
دلی	دلي
دلێ	دل
دن	دن
دنیا	دنيا
دنێڤ	دنو
دهێت	دهت
دهێن	دهن
دهەمان	دهمان
دهەمی	دهمي
دو	دو
دوا	دوا
دوارێ	دوار
دوانی	دواني
دور	دور
دورتموند	دورتموند
دورست	دورست
دوری	دوري
دورێن	دورن
دورە	دور
دوست	دوست
دولار	دولار
دوما	دوما
دونیا	دونيا
دوهی	دوهي
دوو	دو
دووا	دووا
دووانی	دواني
دووانەی	دواني
دووبرا	دوبرا
دوودا	دودا
دوور	دوور
دوورن	دوورن
دووری	دوري
دوورە	دور
دووست	دوست
دووف	دوف
دوولا	دوولا
دووم	دووم
دوومی	دومي
دووهەم	دوهم
دووک	دوك
دووکان	دوكان
دووی	دوي
دوویان	دويان
دوویێ	دوي
دووێ	دو
دووە	دو
دووەم	دوم
دووەمن	دومن
دووەمی	دومي
دووەمە	دوم
دووەکان	دوكان
دوکان	دوكان
دوینێ	دوين
دویێ	دوي
دوێ	دو
دوێت	دوت
دوێنی	دوني
دوێنێ	دون
دوێنێی	دوني
دوێیا	دويا
دوەم	دوم
دوەمی	دومي
دڤی	دوي
دڤیا	دويا
دڤێ	دو
دڤێت	دوت
دڤێد	دود
دکت	دكت
دکتاتۆر	دكتاتور
دکتور	دكتور
دکتۆر	دكتور
دکتۆرە	دكتور
دکن	دكن
دکێت	دكت
دکە	دك
دکەت	دكت
دکەن	دكن
دڵ	دل
دڵی	دلي
دڵیان	دليان
دڵێکی	دلكي
دڵە	دل
دڵەوە	دلو
دۆ	دو
دۆت	دوت
دۆحە	دوح
دۆحەی	دوحي
دۆخی	دوخي
دۆخە	دوخ
دۆخەی	دوخي
دۆر	دور
دۆرا	دورا
دۆران	دوران
دۆرێن	دورن
دۆرە	دور
دۆرەی	دوري
دۆس	دوس
دۆست	دوست
دۆسیە	دوسي
دۆسێی	دوسي
دۆق	دوق
دۆلار	دولار
دۆلارە	دولار
دۆما	دوما
دۆمینیکا	دومينيكا
دۆن	دون
دۆنم	دونم
دۆنی	دوني
دۆڕا	دورا
دۆڕان	دوران
دۆکان	دوكان
دۆڵار	دولار
دۆڵی	دولي
دی	دي
دیا	ديا
دیاب	دياب
دیار	ديار
دیارە	ديار
دیان	ديان
دیب	ديب
دید	ديد
دیدێ	ديد
دیر	دير
دیزنی	ديزني
دیس	ديس
دیسا	ديثا
دیسان	ديصان
دیسمبەر	ديسمبر
دیف	ديف
دیل	ديل
دیلی	ديلي
دین	دين
دینا	دينا
دینار	دينار
دینارە	دينار
دینامۆ	دينامو
دینی	ديني
دیوان	ديوان
دیک	ديك
دیکنز	ديكنز
دیکۆر	ديكور
دیکە	ديك
دیکەتا	ديكتا
دیۆن	ديون
دیێ	دي
دیێن	دين
دێ	د
دێر	در
دێربی	دربي
دێرک	درك
دێری	دري
دێرین	درين
دێل	دل
دێم	دم
دێمی	دمي
دێن	دن
دێنرێت	دنرت
دێنن	دنن
دێنین	دنين
دێنێ	دن
دێنێت	دنت
دێنێن	دنن
دێنە	دن
دێهقان	دهقان
دێو	دو
دێڤد	دود
دێڤێد	دود
دێڵن	دلن
دێڵێت	دلت
دێی	دي
دێین	دين
دە	د
دەبا	دبا
دەباغ	دباغ
دەبرێت	دبرت
دەبرێن	دبرن
دەبن	دبن
دەبنە	دبن
دەبوا	دبوا
دەبڕن	دبرن
دەبڕی	دبري
دەبڕێت	دبرت
دەبڵ	دبل
دەبی	دبي
دەبێ	دب
دەبێت	دبت
دەبێتە	دبت
دەبەست	دبست
دەبەستن	دبستن
دەبەستێ	دبست
دەبەن	دبن
دەبەی	دبي
دەخۆن	دخون
دەخیل	دخيل
دەخەن	دخن
دەخەنە	دخن
دەخەون	دخون
دەدن	ددن
دەدەن	ددن
دەدەنێ	ددن
دەدەنە	ددن
دەر	در
دەرباس	درباس
دەردی	دردي
دەرزی	درزي
دەرس	درس
دەرعا	درعا
دەرمان	درمان
دەرمانە	درمان
دەرویش	درويش
دەروێش	دروش
دەروێشی	دروشي
دەرک	درك
دەرکی	دركي
دەرکەت	دركت
دەری	دري
دەریا	دريا
دەرێ	در
دەرێت	درت
دەرەوەش	دروش
دەرەکی	دركي
دەس	دس
دەست	دست
دەستم	دستم
دەستن	دستن
دەستور	دستور
دەستوری	دستوري
دەستوریە	دستوري
دەستورێ	دستور
دەستورە	دستور
دەستورەی	دستوري
دەستوور	دستور
دەستوورێ	دستور
دەستێ	دست
دەستێن	دستن
دەستە	دست
دەسووتێن	دسوتن
دەشت	دشت
دەشنێ	دشن
دەشێ	دش
دەشێت	دشت
دەعوە	دعو
دەعوەو	دعو
دەغارە	دغار
دەغڵ	دغل
دەف	دف
دەفتەر	دفتر
دەفتەری	دفتري
دەفی	دفي
دەق	دق
دەقی	دقي
دەقێ	دق
دەقێن	دقن
دەقەی	دقي
دەلال	دلال
دەلۆ	دلو
دەلی	دلي
دەلێ	دل
دەلێت	دلت
دەلێن	دلن
دەم	دم
دەما	دما
دەمار	دمار
دەماغ	دماغ
دەمان	دمان
دەمرن	دمرن
دەمرێت	دمرت
دەمی	دمي
دەمێ	دم
دەمێن	دمن
دەمێنن	دمنن
دەمێنێ	دمن
دەمێنێت	دمنت
دەمەوەی	دموي
دەمەی	دمي
دەن	دن
دەنا	دنا
دەنرێت	دنرت
دەنرێن	دنرن
دەنوێنێ	دنون
دەنی	دني
دەنێ	دن
دەنێت	دنت
دەنێرن	دنرن
دەنێرێت	دنرت
دەنێن	دنن
دەنێین	دنين
دەهان	دهان
دەهێ	ده
دەهێنا	دهنا
دەهێنت	دهنت
دەهێنن	دهنن
دەهێنێ	دهن
دەهێنێت	دهنت
دەو	دو
دەوا	دوا
دەوام	دوام
دەوامی	دوامي
دەوحە	دوح
دەوحەی	دوحي
دەور	دور
دەوری	دوري
دەورەی	دوري
دەولی	دولي
دەولە	دول
دەولەت	دولت
دەولەتا	دولتا
دەولەتێ	دولت
دەولەتێن	دولتن
دەوڵەت	دولت
دەوڵەتە	دولت
دەوێ	دو
دەوێت	دوت
دەوەستن	دوستن
دەوەن	دون
دەڤ	دو
دەڤەر	دور
دەڤەرا	دورا
دەڤەران	دوران
دەڤەری	دوري
دەڤەرێ	دور
دەڤەرێن	دورن
دەڤەرە	دور
دەڤەرەکا	دوركا
دەڤەرەی	دوري
دەڤەڕێ	دور
دەکا	دكا
دەکاک	دكاك
دەکتۆر	دكتور
دەکەن	دكن
دەکەنە	دكن
دەکەی	دكي
دەکەێن	دكن
دەڵی	دلي
دەڵیت	دليت
دەڵین	دلين
دەڵێ	دل
دەڵێت	دلت
دەڵێن	دلن
دەڵێین	دلين
دەی	دي
دەیان	ديان
دەیدەن	ديدن
دەیلی	ديلي
دەین	دين
دەیڤس	ديوث
دەیڵێت	ديلت
دەیڵێم	ديلم
دەیەم	ديم
رائد	رائد
راب	راب
رادیۆ	راديو
رازی	راضي
راسێل	راسل
رافع	رافع
رامی	رامي
رامین	رامين
رایس	رايس
رقس	رقص
روزی	روضي
روسیا	روسيا
رووسی	روسي
رووسیا	روسيا
رۆبرت	روبرت
رۆبن	روبن
رۆبین	روبين
رۆبێرت	روبرت
رۆبێن	روبن
رۆبەرت	روبرت
رۆز	روض
رۆلێ	رول
رۆما	روما
رۆمان	رومان
رۆمانی	روماني
رۆمانیا	رومانيا
رۆمەن	رومن
رۆن	رون
رۆنالدۆ	رونالدو
رۆک	روك
رۆڵی	رولي
رۆی	روي
ریاز	رياض
ریازی	رياضي
ریال	ريال
ریان	ريان
ریشە	ريش
رێباز	رباض
رێبین	ربين
رێکەوت	ركوت
رەجەب	رجب
رەحمان	رحمان
رەحیم	رحيم
رەزا	رضا
رەسول	رسول
رەش	رش
رەشاد	رشاد
رەشید	رشيد
رەعد	رعد
رەفیق	رفيق
رەمەزان	رمضان
زاب	ذاب
زاتی	ذاتي
زاد	زاد
زادە	ضاد
زادەی	ضادي
زار	زار
زارا	زارا
زارع	زارع
زارعی	ضارعي
زاری	ضاري
زافر	زافر
زام	ذام
زامبیا	زامبيا
زاملی	زاملي
زامن	زامن
زامنی	زامني
زامی	ذامي
زانا	زانا
زانی	زاني
زاهر	زاهر
زاهی	زاهي
زاڤی	ذاوي
زاک	ذاك
زاڵ	ذال
زاڵە	ذال
زاید	زايد
زبر	زبر
زبل	زبل
زبڵ	ذبل
زبڵی	زبلي
زرار	زرار
زراری	ذراري
زریان	ذريان
زمار	زمار
زمان	زمان
زمانێ	زمان
زمانە	زمان
زمین	ضمين
زنار	زنار
زندی	زندي
زوانە	ذوان
زور	زور
زورا	زورا
زوری	زوري
زولم	ظولم
زوهێر	ظوهر
زوو	ذو
زووانە	ذوان
زوودا	ذودا
زوور	زور
زووی	ذوي
زووە	ذو
زوڕنا	زورنا
زوڵم	ظولم
زوی	ذوي
زکری	ذكري
زکی	ذكي
زۆر	زور
زۆرا	زورا
زۆربێت	ضوربت
زۆرن	زورن
زۆری	زوري
زۆرە	زور
زۆرەی	زوري
زۆی	ذوي
زی	ذي
زیا	زيا
زیاب	ذياب
زیاد	زياد
زیادە	زياد
زیان	ذيان
زیانە	ذيان
زیتا	زيتا
زیتون	زيتون
زید	زيد
زیدان	زيدان
زیر	زير
زین	ذين
زینا	زينا
زینب	زينب
زینی	زيني
زێد	ضد
زێدان	ضدان
زێدی	ضدي
زێر	زر
زێرو	ذرو
زێری	ضري
زێرین	ذرين
زێنێت	زنت
زێوە	ذو
زێڕ	زر
زێڕی	ضري
زێڕین	ذرين
زێی	ذي
زەبر	زبر
زەبری	زبري
زەبی	ظبي
زەحمەت	زحمت
زەحمەتە	زحمت
زەخت	زخت
زەرب	ذرب
