E	'i
بلیت	bilit
بلیتی	biliti
بلیت‌فروش	bilitfuruSi
بلیت‌فروشی	bilitfuruSi
بلیز	boliz
بلیزر	beleyzer
بلیط	bilit
بلیطی	biliti
بلیغ	baliq
بلیه	baliyye
بلیوار	bolivAr
بلیون	belyon
بم	bam
بمان	bemAn
بمب	bomb
بمبئی	bamba'i
بمباران	bombArAn
بمبک	bambak
بمب‌باران	bombbArAn
بمب‌گذار	bombgozAr
بمب‌گذاری	bombgozAri
بمب‌گذاری‌شده	bombgozAriSode
بمب‌‌افکن	bombafkan
بمحض	bemahze
بمراتب	bemarAteb
بمرور	bemorur
بمل	bemol
بموجب	bemowjebe
بموقع	bemowqe'
بمپور	bampur
بن	bon
بنا	banA
بنائی	bannA'i
بناب	bonAb
بنابر	banAbar
بنابراین	banAbarin
بنات‌النعش	banAtonna'S
بناحق	benAhaqq
بنادر	banAder
بنارس	benAres
بنام	benAm
بنان	banAn
بناپارت	benApArt
بناپارتی	benApArti
بناچار	benACAr
بناگاه	benAgAh
بناگوش	banAguS
بنایی	bannAyi
بنا‌به	banAbe
بنا‌سازی	banAsAzi
بنا‌شده	banASode
بنت	bent
بنج	bonj
بنجامین	benjAmin
بنجل	bonjol
بند	band
بنداب	bandAb
بندان	bandAn
بندباز	bandbAz
بندبازی	bandbAzi
بندر	bandar
بندرت	benodrat
بندرعباس	bandar'abbAs
بندرگاه	bandargAh
بندری	bandari
بندر‌امام	bandaremAm
بندر‌انزلی	bandaranzali
بندر‌ترکمن	bandartorkaman
بندر‌لنگه	bandarlenge
بندر‌گز	bandargaz
بندقیر	bandqir
بندنده	bandande
بنده	bande
بنده‌زاده	bandezAde
بنده‌نواز	bandenavAz
بنده‌نوازی	bandenavAzi
بندپا	bandpA
بندپایان	bandpAyAn
بندپی	bandepey
بندکشی	bandkeSi
بندگان	bandegAn
بندگی	bandegi
بندی	bandi
بندیل	bandil
بندیکتی	benedikti
بنز	benz
بنزن	banzan
بنزوات	banzovAt
بنزین	benzin
بنزینی	benzini
بنشن	bonSan
بنصر	benser
بنفش	banafS
بنفشه	banafSe
بنفشه‌خواه	banafSexAh
بنفشه‌زار	banafSezAr
بنفع	benaf'e
بنلاد	bonlAd
بنه	bone
بنچاق	bonCAq
بنژامن	banZAmen
بنکدار	bonakdAr
بنکداری	bonakdAri
بنگ	bang
بنگاب	bangAb
بنگال	bangAl
بنگالی	bangAli
بنگاه	bongAh
بنگاهی	bongAhi
بنگدانه	bangdAne
بنگلادش	bangelAdeS
بنگلادشی	bangelAdeSi
بنگی	bangi
بنی	bani
بنیاد	bonyAd
بنیادگذار	bonyAdgozAr
بنیادگذاری	bonyAdgozAri
بنیادگرا	bonyAdgerA
بنیادگرائی	bonyAdgerA'i
بنیادگرایی	bonyAdgerAyi
بنیادی	bonyAdi
بنیادین	bonyAdin
بنیامین	benyAmin
بنیان	bonyAn
بنیانگذار	bonyAngozAr
بنیانگزاری	bonyangozAri
بنیانی	bonyAni
بنیانیان	bonyAniyAn
بنیان‌کن	bonyAnkan
بنیان‌کنی	bonyAnkani
بنیان‌گذاری	bonyAngozAri
بنیان‌گزار	bonyAngozAr
بنیه	bonye
بنی‌آدم	bani'Adam
بنی‌اسد	bani'asad
بنی‌اسرائیل	bani'esrA'il
بنی‌اعتماد	bani'e'temAd
بنی‌امیه	bani'omayye
بنی‌رضی	banirazi
بنی‌سعد	banisa'd
بنی‌صدر	banisadr
بنی‌عامری	bani'Ameri
بنی‌عباس	bani'abbAs
بنی‌قریظه	baniqorayze
بنی‌قینقاع	baniqaynoqA'
بنی‌هاشم	banihASem
بنی‌هاشمی	banihASemi
بن‌بست	bonbast
بن‌حسین	benhoseyn
بن‌لادن	benlAden
به	be
بها	bahA
بهاء	bahA
بهاء‌الدین	bahA'oddin
بهائم	bahA'em
بهائی	bahA'i
بهائیت	bahA'iyyat
بهاباد	bahAbAd
بهابازار	bahAbAzAr
بهابرگ	bahAbarg
بهادار	bahAdAr
بهادر	bahAdor
بهادران	bahAdorAn
بهادرانی	bahAdorAni
بهادری	bahAdori
بهادری‌نژاد	bahAdorineZAd
بهادر‌خان	bahAdorxAn
بهار	bahAr
بهارخواب	bahArxAb
بهارستان	bahArestAn
بهارلو	bahArlu
بهارمست	bahArmast
بهارنارنج	bahArnArenj
بهاره	bahAre
بهاروند	bahArvand
بهارک	bahArak
بهاری	bahAri
بهاریه	bahAriyye
بهانه	bahAne
بهانه‌تراشی	bahAnetarASi
بهانه‌جو	bahAneju
بهانه‌جوئی	bahAneju'i
بهانه‌جویی	bahAnejuyi
بهانه‌ساز	bahAnesAz
بهانه‌سازی	bahAnesAzi
بهانه‌گیر	bahAnegir
بهایم	bahAyem
بهایی	bahAyi
بهاییت	bahAyiyyat
بهایی‌گری	bahAyigari
بهبهان	behbahAn
بهبهانی	behbahAni
بهبود	behbud
بهبودی	behbudi
بهبود‌دهنده	behbuddahande
بهبود‌سازی	behbudsAzi
بهبود‌یافته	behbudyAfte
بهت	boht
بهتاش	behtAS
بهتان	bohtAn
بهتر	behtar
بهترین	behtarin
بهت‌آ‌ور	bohtAvar
بهت‌زده	bohtzade
بهت‌زدگی	bohtzadegi
بهجت	behjat
بهجتی	behjati
بهجت‌اثر	behjatasar
بهجت‌افزا	behjatafzA
بهجت‌انگیز	behjatangiz
بهداد	behdAd
بهداری	behdAri
بهداشت	behdASt
بهداشتی	behdASti
بهداشتیار	behdAStyAr
بهداشتی‌درمانی	behdAStidarmAni
بهداشت‌کار	behdAStkAr
بهدانه	behdAne
بهدین	behdin
بهر	bahr
بهرام	bahrAm
بهرامشاه	bahrAmSAh
بهرامشاهی	bahrAmSAhi
بهرامن	bahrAman
بهرامپور	bahrAmpur
بهرامی	bahrAmi
بهرامیان	bahrAmiyAn
بهرام‌آباد	bahrAmAbAd
بهرام‌نامه	bahrAmnAme
بهران	behrAn
بهرمان	bahramAn
بهرنگی	behrangi
بهره	bahre
بهره‌ای	bahre'i
بهره‌بردار	bahrebardAr
بهره‌برداری‌شده	bahrebardAriSode
بهره‌بری	bahrebari
بهره‌جویی	bahrejuyi
بهره‌دهی	bahredehi
بهره‌رسانی	bahreresAni
بهره‌مند	bahremand
بهره‌مندی	bahremandi
بهره‌ور	bahrevar
بهره‌وری	bahrevari
بهره‌کشی	bahrekeSi
بهره‌یاب	bahreyAb
بهروان	behravAn
بهروز	behruz
بهروزی	behruzi
بهروزیان	behruziyAn
بهر‌حال	beharhAl
بهر‌صورت	beharsurat
بهر‌ه‌برداری	bahrebardAri
بهر‌ه‌گیری	bahregiri
بهزاد	behzAd
بهزادنیا	behzAdniyA
بهزادی	behzAdi
بهزادیان	behzAdiyAn
بهزیستی	behzisti
بهسازی	behsAzi
بهستان	behestAn
بهشاد	behSAd
بهشت	beheSt
بهشتی	beheSti
بهشت‌آباد	beheStAbAd
بهشت‌آیین	beheStAyin
بهشت‌زهرا	beheStzahrA
بهشهر	behSahr
بهل	behel
بهلول	bohlul
بهلولی	bohluli
بهمان	bahmAn
بهمن	bahman
بهمنش	behmaneS
بهمنشیر	bahmanSir
بهمنی	bahmani
بهمنیار	bahmanyAr
بهمنیاری	bahmanyAri
بهمن‌ماه	bahmanmAh
بهمن‌پور	bahmanpur
بهمن‌گیر	bahmangir
بهم‌ریختگی	behamrixtegi
بهم‌پیوسته	behampeyvaste
بهناز	behnAz
بهنام	behnAm
بهنجار	behanjAr
بهنشر	behnaSr
بهنود	behnud
بهنوش	behnuS
بهنژادی	behneZAdi
بهنگام	behengAm
بهورز	behvarz
بهوش	behvaS
بهکار	behkAr
بهکام	behkAm
بهکده	behkade
بهیار	behyAr
بهیاری	behyAri
بهیمی	bahimi
بهینه	behine
بهینه‌ساز	behinesAz
بهینه‌سازی	behinesAzi
بهینه‌سازی‌شده	behinesAziSode
بهینه‌شده	behineSode
بهیچوجه	behiCvajh
به‌آرامی	be'ArAmi
به‌آسانی	be'AsAni
به‌آهستگی	be'Ahestegi
به‌اتفاق	be'ettefAq
به‌اجبار	be'ejbAr
به‌احتمال	be'ehtemAl
به‌اختصار	be'extesAr
به‌استثنا‌ی	be'estesnAye
به‌اشتباه	be'eStebAh
به‌اصطلاح	be'estelAh
به‌اضافه‌	be'ezAfeye
به‌به	bahbah
به‌بیان‌دیگر	bebayAnedigar
به‌تازگی	betAzegi
به‌تحقیق	betahqiq
به‌تدریج	betadrij
به‌ترتیب	betartib
به‌تصریح	betasrih
به‌تصویب‌رسیده	betasvibreside
به‌تفصیل	betafsil
به‌تناوب	betanAvob
به‌تنهایی	betanhAyi
به‌جا	bejA
به‌جای‌مانده	bejAymAnde
به‌جا‌مانده	bejAmAnde
به‌جهت	bejahate
به‌حتم	behatme
به‌حق	behaqq
به‌حقیقت	behaqiqat
به‌حمدالله	behamdellAh
به‌خاطر	bexAtere
به‌خاطر‌سپردنی	bexAtersepordani
به‌خصوص	bexosus
به‌خلاف	bexalAf
به‌خوبی	bexubi
به‌دام‌افتاده	bedAmoftAde
به‌دردنخور	bedardnaxor
به‌درد‌بخور	bedardboxor
به‌درستی	bedorosti
به‌دست‌آمده	bedastAmade
به‌دست‌گیری	bedastgiri
به‌دفعات	bedafa'At
به‌دقت	bedeqqat
به‌دنبال	bedonbAle
به‌راحتی	berAhati
به‌راستی	berAsti
به‌راه‌اندازی	berAhandAzi
به‌رایگان	berAyegAn
به‌رغم	beraqme
به‌روشنی	beroSani
به‌زحمت	bezahmat
به‌زودی	bezudi
به‌زور	bezur
به‌سادگی	besAdegi
به‌سان	besAne
به‌سبب	besababe
به‌سختی	besaxti
به‌سرعت	besor'at
به‌سرقت‌رفته	beserqatrafte
به‌سزا	besezA
به‌سلامت	besalAmat
به‌شخصه	beSaxse
به‌شدت	beSeddat
به‌شرط	beSarte
به‌شوخی	beSuxi
به‌صراحت	beserAhat
به‌صرفه	besarfe
به‌صورت	besurate
به‌طبع‌رسیده	betab'reside
به‌طرز	betarze
به‌طور	betore
به‌طور‌خلاصه	betorexolAse
به‌طور‌کلی	betorekolli
به‌ظاهر	bezAher
به‌عبارتی	be'ebArati
به‌علاوه‌	be'alAveye
به‌علت	be'ellate
به‌عمد	be'amd
به‌عمل‌آمده	be'amalAmade
به‌عهده	be'ohdeye
به‌غایت	beqAyat
به‌غلط	beqalat
به‌غیر	beqeyre
به‌فراوانی	befarAvAni
به‌فروش‌رفته	befuruSrafte
به‌قرار	beqarAre
به‌قولی	beqoli
به‌مانند	bemAnande
به‌مثابه	bemasAbehe
به‌مثل	bemesle
به‌مجرد	bemojarrade
به‌محض	bemahze
به‌مراتب	bemarAteb
به‌مرور	bemorur
به‌منظور	bemanzure
به‌موقع	bemoqe'
به‌ناحق	benAhaqq
به‌ناچار	benACAr
به‌ناگاه	benAgAh
به‌نحو	benahve
به‌ندرت	benodrat
به‌نزدیک	benazdike
به‌نظر	benazare
به‌نمایش‌درآمده	benamAyeSdarAmade
به‌هرحال	beharhAl
به‌هم	beham
به‌هم‌ریختگی	behamrixtegi
به‌هم‌وابسته	behamvAbaste
به‌هم‌پیوسته	behampeyvaste
به‌هم‌پیوستگی	behampeyvastegi
به‌هم‌چسبیده	behamCasbide
به‌هنجار	behanjAr
به‌هنگام	behengAme
به‌واقع	bevAqe'
به‌وجود‌آمده	bevojudAmade
به‌وسیله‌ی	bevasileye
به‌وضوح	bevozuh
به‌وفور	bevofur
به‌ویژه	beviZe
به‌پیش	bepiSe
به‌کارگرفته	bekArgerefte
به‌کارگیری	bekArgiri
به‌کار‌رفته	bekArrafte
به‌کلی	bekolli
به‌کندی	bekondi
به‌گرمی	begarmi
به‌گفته‌	begofteye
به‌یاد‌ماندنی	beyAdmAndani
به‌یقین	beyaqin
به‌‌کرات	bekarrAt
بو	bu
بوآ	bo'A
بوئر	bo'er
بوئنوس‌آیرس	bo'enus'Ayres
بوئین	bu'in
بوئینگ	bu'ing
بوئین‌زهرا	bu'inzahrA
بواسطه	bevAseteye
بواسیر	bavAsir
بواطن	bevAten
بوالحسن	bolhasan
بوالحسنی	bolhasani
بوالعجب	bol'ajab
بوالفرج	bolfaraj
بوالفضول	bolfozul
بوالهوس	bolhavas
بوالهوسانه	bolhavasAne
بوالهوسی	bohavasi
بوتان	butAn
بوته	bute
بوته‌ای	bute'i
بوته‌زار	butezAr
بوتولیسم	botolism
بوتیمار	butimAr
بوتیک	butik
بوتیکدار	butikdAr
بوجاری	bujAri
بوجود‌آمده	bevojudAmade
بود	bud
بودا	budA
بودائی	budA'i
بودائیت	bodA'iyyat
بودائیسم	budA'ism
بوداده	budAde
بودار	budAr
بوداپست	budApest
بودایی	budAyi
بودجه	budje
بودجه‌ای	budje'i
بودجه‌بندی	budjebandi
بودجه‌ریزی	budjerizi
بوده	bude
بور	bor
بورات	borAt
بورانی	burAni
بوراکس	borAks
بوربور	burbur
بوربوری	burburi
بورت	buret
بورس	burs
بورسیه	bursiyye
بورس‌بازی	bursbAzi
بوره	bure
بوروکرات	burokerAt
بوروکراسی	burokerAsi
بورژوا	burZuvA
بورژوائی	burZuvA'i
بورژوازی	burZvAzi
بورژوایی	burZuvAyi
بورکینا‌فاسو	burkinAfAso
بوری	buri
بوریا	buriyA
بوزجانی	bozjAni
بوزدایی	buzedAyi
بوزینه	buzine
بوس	bus
بوستان	bustAn
بوستر	buster
بوسعید	busa'id
بوسلیک	busalik
بوسنی	bosni
بوسنیایی	bosniyAyi
بوسه	buse
بوسید	busid
بوش	buS
بوشمن	buSman
بوشهر	buSehr
بوشهری	buSehri
بوشینگ	buSing
بوضوح	bevozuh
بوعلی	bu'ali
بوعلی‌سینا	bu'alisinA
بوف	buf
بوفالو	bufAlo
بوفه	bufe
بوق	buq
بوقت	bevaqt
بوقلمون	buqalamun
بوقی	buqi
بول	bul
بولتن	bultan
بولدوزر	buldozer
بولشویک	bolSevik
بولند	bolond
بولوار	bolvAr
بولینگ	boling
بولیوار	bulivAr
بولیوی	bulivi
بوم	bum
بومادران	bumAdarAn
بومرنگ	bumrang
بومهن	bumehen
بومی	bumi
بومی‌سازی	bumisAzi
بومی‌نشین	bumineSin
بوم‌شناختی	bumSenAxti
بوم‌شناس	bumSenAs
بوم‌شناسی	bumSenAsi
بوم‌و‌بر	bumobar
بونصر	bunasr
بوکان	bukAn
بوکانی	bukAni
بوکس	boks
بوکسور	boksor
بوکسیت	boksit
بوگیر	bugir
بوی	buy
بویا	buyA
بویائی	buyA'i
بویایی	buyAyi
بویراحمد	boyerahmad
بویناک	buynAk
بوینس‌آیرس	buynes'Ayres
بویه	buye
بویژه	beviZe
بویید	buyid
بویینگ	buying
بویین‌زهرا	buyinzahrA
بپا	bepA
بپاخاسته	bepAxAste
بچاپ‌بچاپ	beCApbeCAp
بچه	baCCe
بچه‌باز	baCCebAz
بچه‌بازی	baCCebAzi
بچه‌خرس	baCCexers
بچه‌دار	baCCedAr
بچه‌داری	baCCedAri
بچه‌دان	baCCedAn
بچه‌دزد	baCCedozd
بچه‌زا	baCCezA
بچه‌سال	baCCesAl
بچه‌مدرسه	baCCemadrese
بچه‌مدرسه‌ا‌‌ی	baCCemadrese'i
بچه‌ننه	baCCenane
بچه‌گانه	baCCegAne
بچگانه	baCCegAne
بچگی	baCCegi
بژ	baZ
بکار	bekAr
بکارت	bekArat
بکاررفته	bekArrafte
بکارگیرنده	bekArgirande
بکارگیری	bekArgiri
بکتاش	baktAS
بکر	bekr
بکرات	bekarrAt
بکرزایی	bekrzAyi
بکرل	bekrel
بکس	boks
بکسل	boksel
بکسوات	boksovAt
بکسور	boksor
بکش‌بکش	bekoSbekoS
بکل	bekol
بکلی	bekolli
بکن	bokon
بکندی	bekondi
بکن‌بائر	bekenbA'er
بکوب	bekub
بگوش	beguS
بگومگو	begomagu
بگونیا	begoniyA
بگوویچ	begoviC
بگیر	begir
بگیروببند	begirobeband
بی	bi
بیابان	biyAbAn
بیابانک	biyAbAnak
بیابانکی	biyAbAnaki
بیابانگرد	biyAbAngard
بیابانگردی	biyAbAngardi
بیابانی	biyAbAni
بیابان‌زایی	biyAbAnzAyi
بیابان‌زدایی	biyAbAnzodAyi
بیابان‌نشین	biyAbAnneSin
بیات	bayAt
بیاتی	bayAti
بیاد‌ماندنی	beyAdmAndani
بیارجمند	biyArjomand
بیاض	bayAz
بیاضی	bayAzi
بیان	bayAn
بیانات	bayAnAt
بیانگر	bayAngar
بیانی	bayAni
بیانیه	bayAniyye
بیانیه‌ای	bayAniyye'i
بیان‌شده	bayAnSode
بیان‌کننده	bayAnkonande
بیت	beyt
بیتوته	beytute
بیتی	beyti
بیت‌الحرام	beytolharAm
بیت‌الحکمه	beytolhakame
بیت‌اللحم	beytlahm
بیت‌الله	beytollAh
بیت‌المال	beytolmAl
بیت‌لحم	beytlahm
بیت‌‌المقدس	beytolmoqaddas
بیجا	bijA
بیجاده	bijAde
بیجار	bijAr
بیجاری	bijAri
بیجاپور	bijApur
بیجک	bijak
بیخ	bix
بیخت	bixt
بید	bid
بیداد	bidAd
بیدادگر	bidAdgar
بیدادگری	bidAdgari
بیدار	bidAr
بیدارباش	bidArbAS
بیداربخت	bidArbaxt
بیداردل	bidArdel
بیدارکننده	bidArkonande
بیدارگری	bidArgari
بیداری	bidAri
بیدبلند	bidboland
بیدررو	bidarrow
بیدزار	bidzAr
بیدستان	bidestAn
بیدق	beydaq
بیدمشک	bidmeSk
بیدمشکی	bidmeSki
بیده	bide
بیدگل	bidqol
بیدگنه	bidgane
بیدی	bidi
بیدیان	bidiyAn
بیراه	birAhe
بیرجند	birjand
بیرجندی	birjandi
بیرشک	biraSk
بیرق	beyraq
بیروت	beyrut
بیروتی	beyruti
بیرون	birun
بیرونی	biruni
بیرون‌زدگی	birunzadegi
بیرگ	birag
بیز	biz
بیزار	bizAr
بیزاری	bizAri
بیزاری‌جویی	bizArijuyi
بیزانس	bizAns
بیزانسی	bizAnsi
بیزینس	bizines
بیسائو	bisA'o
بیسبال	beysbAl
بیست	bist
بیستار	bistAr
بیسترو	bistro
بیستون	bisotun
بیستگانی	bistgAnegi
بیست‌ساله	bistsAle
بیست‌سالگی	bistsAlegi
بیست‌گانه	bistgAne
بیسمارک	bismArk
بیسموت	bismut
بیسکویت	biskuyit
بیسیک	beysik
بیسیکلت	bisiklet
بیش	biS
بیشاپور	biSApur
بیشتر	biStar
بیشه	biSe
بیشه‌زار	biSezAr
بیشی	biSi
بیشینه	biSine
بیشینه‌سازی	biSinesAzi
بیش‌از	biSaz
بیش‌ازحد	biSazhadd
بیش‌فعالی	biSfa''Ali
بیضاء	beyzA
بیضائی	beyzA'i
بیضایی	beyzAyi
بیضتین	beyzateyn
بیضه	beyze
بیضه‌بند	beyzeband
بیضوی	beyzavi
بیضی	beyzi
بیضی‌شکل	beyziSekl
بیضی‌گون	beyzigun
بیطار	beytAr
بیع	bay'
بیعار	bi'Ar
بیعاری	bi'Ari
بیعانه	bey'Ane
بیعت	bey'at
بیغ	biq
بیغوله	beyqule
بیفتک	biftak
بیفروغ	bifuruq
بیل	bil
بیلان	bilAn
بیلچه	bilCe
بیلیارد	bilyArd
بیلیون	bilyun
بیم	bim
بیمار	bimAr
بیماربر	bimArbar
بیمارداری	bimArdAri
بیماردل	bimArdel
بیمارستان	bimArestAn
بیمارستانی	bimArestAni
بیمارگونه	bimArgune
بیماری	bimAri
بیماریابی	bimAryAbi
بیماریزا	bimArizA
بیماریزائی	bimArizA'i
بیماری‌زایی	bimArizAyi
بیمناک	bimnAk
بیمناکی	bimnAki
بیمه	bime
بیمه‌ای	bime'i
بیمه‌شده	bimeSode
بیمه‌نامه	bimenAme
بیمه‌گذار	bimegozAr
بیمه‌گر	bimegar
بیمه‌گری	bimegari
بین	bayyen
بینا	binA
بینائی	binA'i
بیناب	binAb
بینابین	beynAbeyn
بینات	bayyenAt
بینالود	binAlud
بینایی	binAyi
بینایی‌سنجی	binAyisanji
بینا‌بینی	beynAbeyni
بینش	bineS
بینشی	bineSi
بینش‌پژوه	bineSpaZuh
بیننده	binande
بینه	bayyene
بینوا	binavA
بینوایی	binavAyi
بینگو	bingo
بینی	bini
بینی‌سران	binisarAn
بین‌الدول	beynoddoval
بین‌الملل	beynolmelal
بین‌المللی	beynolmelali
بین‌الملل‌گرایی	beynolmelalgerAyi
بین‌النهرین	beynonnahreyn
بین‌النهرینی	beynolnahreyni
بین‌ایالتی	beyne'eyAlati
بین‌دولتی	beynedowlati
بین‌راهی	beynerAhi
بین‌شهری	beyneSahri
بین‌قاره‌ای	beyneqArre'i
بین‌مرزی	beinemarzi
بین‌کهکشانی	beynekahkeSAni
بین‌گروهی	beynegoruhi
بیهق	beyhaq
بیهقی	beyhaqi
بیهوده	bihude
بیهوده‌کاری	bihudekAri
بیهودگی	bihudegi
بیهوش	bihuS
بیهوشی	bihuSi
بیو	biyo
بیوت	buyut
بیوتات	buyutAt
بیوتروریسم	biyoterorism
بیوتکنولوژی	biyoteknoloZi
بیوتکنیک	biyoteknik
بیوسفر	biyosfer
بیوشیمی	biyoSimi
بیوشیمیائی	biyoSimiyA'i
بیوشیمیایی	biyoSimiyAyi
بیوفیزیک	biyofizik
بیولوژی	biyoloZi
بیولوژیست	biyoloZist
بیولوژیک	biyoloZiki
بیولوژیکی	biyoloZiki
بیومکانیک	biyomekAnik
بیونیک	biyonik
بیوه	bive
بیوه‌زن	bivezan
بیوپسی	biyopsi
بیوپلاستیک	biyopelAstik
بیوک	biyuk
بیوگاز	biyogAz
بیوگان	bivegAn
بیوگرافی	biyogerAfi
بیچاره	biCAre
بیچارگان	biCAregAn
بیچارگی	biCAregi
بیژن	biZan
بیژنی	biZani
بیک	beyk
بیکار	bikAr
بیکاره	bikAre
بیکاری	bikAri
بیکباره	beyekbAre
بیکزاده	beykzAde
بیگ	beyg
بیگاری	bigAri
بیگانه	bigAne
بیگانه‌خوار	bigAnexAr
بیگانه‌خواری	bigAnexAri
بیگانه‌ستیز	bigAnesetiz
بیگانه‌ستیزی	bigAnesetizi
بیگانه‌پرست	bigAneparast
بیگانگان	bigAnegAn
بیگانگی	bigAnegi
بیگاه	bigAh
بیگدلی	bigdeli
بیگلربیگی	biglarbeygi
بیگلری	biglari
بیگم	beygom
بیگمان	bigamAn
بیگودی	bigudi
بیگی	beygi
بیگ‌زاده	beygzAde
بی‌آب	bi'Ab
بی‌آبرو	bi'Aberu
بی‌آبرویی	bi'Aberuyi
بی‌آبی	bi'Abi
بی‌آب‌و‌علف	bi'Abo'alaf
بی‌آرام	bi'ArAm
بی‌آرامی	bi'ArAmi
بی‌آزار	bi'AzAr
بی‌آستین	bi'Astin
بی‌آغاز	bi'AqAz
بی‌آلایش	bi'AlAyeS
بی‌آلایشی	bi'AlAyeSi
بی‌آن‌که	bi'Anke
بی‌ابر	bi'abr
بی‌ابهام	bi'ebhAm
بی‌اثر	bi'asar
بی‌اجازه	bi'ejAze
بی‌اجر	bi'ajr
بی‌احتیاط	bi'ehtiyAt
بی‌احتیاطی	bi'ehtiyAti
بی‌احساس	bi'ehsAs
بی‌اختیار	bi'extiyAr
بی‌اختیاری	bi'extiyAri
بی‌اخلاقی	bi'axlAqi
بی‌ادب	bi'adab
بی‌ادبانه	bi'adabAne
بی‌ادبی	bi'adabi
بی‌ادعا	bi'edde'A
بی‌اراده	bi'erAde
بی‌ارتباط	bi'ertebAt
بی‌ارزش	bi'arzeS
بی‌ارزشی	bi'arzeSi
بی‌اساسی	bi'asAsi
بی‌استعداد	bi'este'dAd
بی‌استفاده	bi'estefAde
بی‌اشتباه	bi'eStebAh
بی‌اشتها	bi'eStehA
بی‌اشتهایی	bi'eStehAyi
بی‌اصل	bi'asl
بی‌اصل‌ونسب	bi'aslonasab
بی‌اطلاع	bi'ettelA'
بی‌اطلاعی	bi'ettelA'i
بی‌اعتبار	bi'e'tebAr
بی‌اعتباری	bi'e'tebAri
بی‌اعتقاد	bi'e'teqAd
بی‌اعتقادی	bi'e'teqAdi
بی‌اعتماد	bi'e'temAdi
بی‌اعتمادی	bi'e'temAdi
بی‌اعتنا	bi'e'tenA
بی‌اعتنائی	bi'e'tenA'i
بی‌اعتنایی	bi'e'tenAyi
بی‌افق	bi'ofoq
بی‌التهاب	bi'eltehAb
بی‌امان	bi'amAn
بی‌امتیاز	bi'emtiyAz
بی‌امضا	bi'emzA
بی‌انباز	bi'anbAz
بی‌اندازه	bi'andAze
بی‌اندام	bi'andAm
بی‌اندیشه	bi'andiSe
بی‌انصاف	bi'ensAf
بی‌انضباط	bi'enzebAt
بی‌انضباطی	bi'enzebAti
بی‌انگیزه	bi'angize
بی‌اهمیت	bi'ahammiyyat
بی‌اهمیتی	bi'ahammiyyati
بی‌ایمان	bi'imAn
بی‌ایمانی	bi'imAni
بی‌ا‌حترامی	bi'ehterAmi
بی‌ا‌ساس	bi'asAs
بی‌ا‌نتها	bi'entehA
بی‌باران	bibArAn
بی‌باری	bibAri
بی‌بازگشت	bibAzgaSt
بی‌بال	bibAl
بی‌بالان	bibAlAn
بی‌باک	bibAk
بی‌باکانه	bibAkAne
بی‌باکی	bibAki
بی‌بته	bibotte
بی‌بخار	biboxAr
بی‌بدل	bibadal
بی‌بدیل	bibadil
بی‌بر	bibar
بی‌برق	bibarq
بی‌برنامه	bibarnAme
بی‌برنامگی	bibarnAmegi
بی‌بروبرگرد	biborobargard
بی‌برکت	bibarekat
بی‌بضاعت	bibezA'at
بی‌بعد	bibo'd
بی‌بلا	bibalA
بی‌بند‌و‌بار	bibandobAr
بی‌بند‌و‌باری	bibandobAri
بی‌بنیاد	bibonyAd
بی‌بنیان	bibonyAn
بی‌بها	bibahA
بی‌بهره	bibahre
بی‌بو	bibu
بی‌بی	bibi
بی‌بی‌حکیمه	bibihakime
بی‌بی‌سی	bibisi
بی‌بی‌شهربانو	bibiSahrbAnu
بی‌بی‌شیروان	bibiSirvAn
بی‌تا	bitA
بی‌تاب	bitAb
بی‌تابانه	bitAbAne
بی‌تابی	bitAbi
بی‌تاثیر	bita'sir
بی‌تجربه	bitajrobe
بی‌تجربگی	bitajrobegi
بی‌تحرک	bitaharrok
بی‌تحملی	bitahammoli
بی‌تدبیر	bitadbir
بی‌تدبیری	bitadbiri
بی‌تربیتی	bitarbiyati
بی‌تردید	bitardid
بی‌تعادلی	bita'Adoli
بی‌تغییر	bitaqyir
بی‌تفاوت	bitafAvot
بی‌تفاوتی	bitafAvoti
بی‌تفکر	bitafakkor
بی‌تقصیر	bitaqsir
بی‌تقوایی	bitaqvAyi
بی‌تمدن	bitamaddon
بی‌تمکین	bitamkin
بی‌تناسب	bitanAsob
بی‌توجه	bitavajjoh
بی‌توجهی	bitavajjohi
بی‌توشه	bituSe
بی‌تکلف	bitakallof
بی‌تکیه	bitekye
بی‌ثبات	bisobAt
بی‌ثباتی	bisobAti
بی‌ثبات‌سازی	bisobAtsAzi
بی‌ثمر	bisamar
بی‌ثمری	bisamari
بی‌جان	bijAn
بی‌جانشین	bijAneSin
بی‌جرم	bijorm
بی‌جن‌خان	bijanxAn
بی‌جهت	bijahat
بی‌جواب	bijavAb
بی‌حادثه	bihAdese
بی‌حاصل	bihAsel
بی‌حاصلی	bihAseli
بی‌حال	bihAl
بی‌حالت	bihAlat
بی‌حالی	bihAli
بی‌حجاب	bihejAb
بی‌حجابی	bihejAbi
بی‌حد	bihadd
بی‌حدومرز	bihaddomarz
بی‌حد‌و‌حصر	bihaddohasr
بی‌حرف	biharf
بی‌حرمتی	bihormati
بی‌حرکت	biharekat
بی‌حرکتی	biharekati
بی‌حس	bihess
بی‌حساب	bihesAb
بی‌حسی	bihessi
بی‌حقی	bihaqqi
بی‌حمیت	bihamiyyAt
بی‌حوصله	bihosele
بی‌حوصلگی	bihoselegi
بی‌حیایی	bihayAyi
بی‌حیثیت	biheysiyyat
